DATE,PRCP_Sacramento,TAVG_Sacramento,PRCP_LA,TAVG_LA,CO2_PPM,Acres_Burned,ENSO type,Average_SST_Difference
1959,12.78,62.2,6.24,67.3,315.98,299519,Neutral,0.050
1960,15.21,62.2,9.57,65.6,316.91,346191,Neutral,-0.025
1961,13.24,61,5.83,65.3,317.64,363230,Neutral,-0.067
1962,21.59,60,15.37,63.2,318.45,132535,Neutral,-0.242
1963,21.66,59.4,12.33,65.1,318.99,32275,El Nino,0.550
1964,16.71,60.6,7.99,63.6,319.62,296783,La Nina,-0.367
1965,13.81,59.6,26.82,64.3,320.04,82851,El Nino ,0.767
1966,13.79,61.3,12.92,66,321.37,266467,Neutral,0.342
1967,19.63,60.5,23.67,66.4,322.18,237255,La Nina,-0.325
1968,14.9,60.9,7.59,66.2,323.05,223610,Neutral,0.033
1969,23.93,60.7,26.33,65.4,324.62,97126,El Nino ,0.717
1970,23.09,61.6,16.54,66.1,325.68,676020,La Nina,-0.300
1971,9.8,59.7,9.26,65.1,326.32,60060,La Nina,-0.908
1972,13.94,60.2,6.55,66.5,327.46,92264,El Nino ,0.850
1973,26.51,61.4,17.46,65,329.68,257137,La Nina,-0.567
1974,15.16,60.5,16.7,65.3,330.19,137297,Neutral,-0.867
1975,13.2,61.2,10.72,63,331.12,223025,Neutral,-0.967
1976,6.26,62.2,11.01,65.2,332.03,199035,El Nino ,-0.075
1977,11.73,60.5,14.97,65.9,333.84,465615,Neutral,0.517
1978,23.75,60.7,30.57,65.5,335.41,126264,Neutral,-0.100
1979,20.34,60.8,17.01,65.4,336.84,379089,Neutral,0.267
1980,19.35,59.8,26.35,67.7,338.76,380263,Neutral,0.292
1981,22.35,61.4,10.92,68.9,340.12,313830,Neutral,-0.233
1982,31.61,57.7,14.41,65.5,341.48,142578,El Nino ,0.958
1983,33.46,61.2,34.06,68.9,343.15,85943,El Nino,0.508
1984,9.51,62.3,8.93,68.4,344.85,207242,Neutral,-0.475
1985,11.56,59.8,8.92,67,346.35,568394,La Nina,-0.525
1986,18.16,61.9,18,67.7,347.61,109079,Neutral,0.242
1987,15.84,61.7,9.13,66,349.31,873000,El Nino,1.225
1988,12.07,62.8,11.64,66.1,351.69,345000,El Nino,-0.775
1989,15.12,60.6,4.57,66.6,353.2,173400,La Nina,-0.625
1990,13.78,61.8,6.5,67.5,354.45,365200,Neutral,0.275
1991,13.91,61.7,15.08,65.8,355.7,44200,Neutral,0.633
1992,16.51,62.2,22.66,68,356.54,282745,El Nino,0.667
1993,23.37,60.7,23.5,67.2,357.21,309779,Neutral,0.350
1994,11.06,,8.67,67.5,358.96,526219,Neutral,0.433
1995,25.63,62,23.66,67.8,360.97,209815,El Nino,-0.133
1996,22.46,63.2,17.75,67.6,362.74,752372,Neutral,-0.425
1997,19.57,63.4,10.7,68.3,363.88,283885,Neutral,1.042
1998,27.84,59.9,27.87,66.1,366.84,215412,El Nino,-0.008
1999,11.44,59.8,8.06,64.2,368.54,1172850,La Nina,-1.142
2000,22.59,60.8,11.93,65.1,369.71,295026,El Nino,-0.867
2001,21.51,61.8,19.61,64,371.32,377340,Neutral,-0.300
2002,16.98,60.9,7.36,64.4,373.45,538216,Neutral,0.583
2003,14.52,62,13.39,65.4,375.98,965770,El Nino,0.258
2004,17.56,61.8,20.12,65.4,377.7,311024,Neutral,0.433
2005,22.17,61.4,26.61,65.1,379.98,279214,Neutral,0.108
2006,17.79,60.8,11.61,66.7,382.09,863345,Neutral,0.125
2007,11.74,60.9,5.67,65.6,384.03,1520362,El Nino,-0.417
2008,13.3,61.1,14.44,66.4,385.83,1593690,La Nina,-0.717
2009,18.9,61.4,9.39,66.2,387.64,451969,Neutral,0.308
2010,22.87,60.7,23.1,65.7,390.1,134462,El Nino,-0.358
2011,16.95,60.2,12.27,63.9,391.85,228599,La Nina,-0.725
2012,21.16,61.7,8.17,65.5,394.06,829224,La Nina,-0.125
2013,5.81,61.8,3.61,65.6,396.74,601635,Neutral,-0.283
2014,18.75,64.3,9.78,68.1,398.87,625540,Neutral,-0.017
2015,8.53,63.8,7.67,68.3,401.01,880899,El Nino,1.250
2016,22.2,62.6,11.81,67.1,404.41,669534,El Nino,0.300
2017,26.05,62.6,13.26,68.2,406.76,1548429,La Nina,0.013
2018,18.44,61.7,8.87,67.2,408.72,1975086,La Nina,-0.032
