STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN,STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN,DATE,mean,Acres_Burned
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1959,12.78,62.2,75.6,48.8,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1959,6.24,67.3,76.6,58,1959,315.98,299519
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1960,15.21,62.2,75.3,49.1,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1960,9.57,65.6,75.1,56.2,1960,316.91,346191
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1961,13.24,61,74.4,47.7,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1961,5.83,65.3,74.6,55.9,1961,317.64,363230
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1962,21.59,60,72.9,47.1,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1962,15.37,63.2,72.1,54.3,1962,318.45,132535
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1963,21.66,59.4,71.2,47.7,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1963,12.33,65.1,73.8,56.4,1963,318.99,32275
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1964,16.71,60.6,74,47.1,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1964,7.99,63.6,72.9,54.4,1964,319.62,296783
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1965,13.81,59.6,72,47.2,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1965,26.82,64.3,73.7,54.9,1965,320.04,82851
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1966,13.79,61.3,74.6,48.1,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1966,12.92,66,75.3,56.7,1966,321.37,266467
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1967,19.63,60.5,73.5,47.5,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1967,23.67,66.4,75.6,57.3,1967,322.18,237255
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1968,14.9,60.9,73.8,47.9,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1968,7.59,66.2,75.1,57.3,1968,323.05,223610
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1969,23.93,60.7,73.5,47.8,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1969,26.33,65.4,73.6,57.2,1969,324.62,97126
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1970,23.09,61.6,74.4,48.8,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1970,16.54,66.1,75.1,57.1,1970,325.68,676020
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1971,9.8,59.7,72.8,46.6,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1971,9.26,65.1,74.2,56,1971,326.32,60060
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1972,13.94,60.2,72.8,47.6,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1972,6.55,66.5,76.3,56.7,1972,327.46,92264
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1973,26.51,61.4,73.7,49.1,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1973,17.46,65,74,55.9,1973,329.68,257137
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1974,15.16,60.5,73.4,47.5,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1974,16.7,65.3,74,56.6,1974,330.19,137297
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1975,13.2,61.2,73.7,48.7,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1975,10.72,63,71.9,54.1,1975,331.12,223025
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1976,6.26,62.2,75.9,48.5,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1976,11.01,65.2,74.9,55.4,1976,332.03,199035
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1977,11.73,60.5,73,47.9,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1977,14.97,65.9,75.1,56.6,1977,333.84,465615
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1978,23.75,60.7,72.8,48.5,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1978,30.57,65.5,74.9,56.1,1978,335.41,126264
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1979,20.34,60.8,73.5,48.1,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1979,17.01,65.4,74.7,56,1979,336.84,379089
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1980,19.35,59.8,72.2,47.5,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1980,26.35,67.7,76.9,58.5,1980,338.76,380263
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1981,22.35,61.4,73.8,49.1,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1981,10.92,68.9,77.7,60,1981,340.12,313830
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1982,31.61,57.7,69.2,46.3,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1982,14.41,65.5,73.5,57.5,1982,341.48,142578
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1983,33.46,61.2,72,50.3,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1983,34.06,68.9,76.6,61.1,1983,343.15,85943
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1984,9.51,62.3,74.6,49.9,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1984,8.93,68.4,77.6,59.3,1984,344.85,207242
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1985,11.56,59.8,72.4,47.3,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1985,8.92,67,76.2,57.7,1985,346.35,568394
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1986,18.16,61.9,74.6,49.2,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1986,18,67.7,77.4,57.9,1986,347.61,109079
